home_elo,away_elo,elo_diff,home_rank,away_rank,rank_diff,neutral,is_competitive,home_form,away_form,form_diff,home_attack_strength,away_attack_strength,home_defense_strength,away_defense_strength,elite_score_diff,adjusted_strength_diff,target
2113.0,1892.0,221.0,2.0,15.0,13.0,0,1,0.5,2.0,-1.5,1.0,1.5,1.5,1.0,0,0,1
1767.0,2020.0,-253.0,29.0,4.0,-25.0,0,1,1.4,2.4,-1.0,1.4,2.2,1.0,0.6,0,0,2
2081.0,1867.0,214.0,3.0,19.0,16.0,0,0,1.5,1.5,0.0,0.5,2.5,2.5,2.0,0,0,0
1867.0,1961.0,-94.0,19.0,8.0,-11.0,0,0,1.75,1.5,0.25,4.0,2.0,1.75,3.0,0,0,2
1961.0,1867.0,94.0,8.0,19.0,11.0,0,0,1.5,2.0,-0.5,3.0,2.6666666666666665,1.5,2.0,0,0,0
2113.0,1524.0,589.0,2.0,79.0,77.0,0,0,0.3333333333333333,3.0,-2.6666666666666665,0.6666666666666666,1.0,1.3333333333333333,0.0,0,0,0
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,1,0.0,3.0,-3.0,0.0,4.0,4.0,0.0,0,0,0
2113.0,1892.0,221.0,2.0,15.0,13.0,0,1,1.0,1.3333333333333333,-0.33333333333333326,1.0,1.3333333333333333,1.25,1.3333333333333333,0,0,2
2020.0,1767.0,253.0,4.0,29.0,25.0,0,1,2.2,0.8,1.4000000000000001,1.4,0.6,0.6,1.2,0,0,1
1867.0,1961.0,-94.0,19.0,8.0,-11.0,0,0,1.4,2.0,-0.6000000000000001,3.4,2.3333333333333335,2.0,2.3333333333333335,0,0,0
1867.0,2081.0,-214.0,19.0,3.0,-16.0,0,0,1.2,1.3333333333333333,-0.1333333333333333,3.0,1.6666666666666667,1.8,3.6666666666666665,0,0,0
1961.0,1867.0,94.0,8.0,19.0,11.0,0,0,1.0,2.25,-1.25,2.3333333333333335,2.5,1.6666666666666667,1.75,0,0,0
1889.0,2081.0,-192.0,16.0,3.0,-13.0,0,0,0.0,1.75,-1.75,1.0,1.75,2.0,3.0,0,0,0
1867.0,1961.0,-94.0,19.0,8.0,-11.0,0,0,1.2,2.25,-1.05,3.0,2.75,1.8,2.0,0,0,0
1767.0,2020.0,-253.0,29.0,4.0,-25.0,0,1,2.0,2.0,0.0,1.6,2.6,1.0,1.0,0,0,1
1889.0,1923.0,-34.0,16.0,11.0,-5.0,0,0,1.5,0.0,1.5,3.0,3.0,2.5,5.0,0,0,2
2081.0,1867.0,214.0,3.0,19.0,16.0,0,0,1.0,2.4,-1.4,0.6666666666666666,2.4,2.3333333333333335,1.6,0,0,0
1961.0,1867.0,94.0,8.0,19.0,11.0,0,0,1.5,2.4,-0.8999999999999999,2.5,2.6,1.5,1.4,0,0,2
1961.0,2081.0,-120.0,8.0,3.0,-5.0,0,0,1.8,1.4,0.40000000000000013,2.8,1.6,1.4,3.2,0,0,2
1827.0,2020.0,-193.0,23.0,4.0,-19.0,0,0,2.4,2.0,0.3999999999999999,3.4,3.6,2.6,1.2,0,0,0
1827.0,1923.0,-96.0,23.0,11.0,-12.0,0,0,2.4,0.0,2.4,3.2,2.5,2.6,4.0,0,0,2
1827.0,2020.0,-193.0,23.0,4.0,-19.0,0,0,1.8,2.6,-0.8,2.4,5.6,4.0,1.0,0,0,0
1719.0,1912.0,-193.0,43.0,12.0,-31.0,0,0,3.0,0.0,3.0,11.0,3.0,3.0,11.0,0,0,2
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,1,0.3333333333333333,2.3333333333333335,-2.0,0.6666666666666666,3.3333333333333335,3.3333333333333335,0.6666666666666666,0,0,1
2113.0,1892.0,221.0,2.0,15.0,13.0,0,1,1.4,1.0,0.3999999999999999,1.2,1.25,1.2,1.5,0,0,2
2113.0,1892.0,221.0,2.0,15.0,13.0,0,1,1.4,1.4,0.0,0.8,1.2,0.8,1.2,0,0,0
1961.0,1719.0,242.0,8.0,43.0,35.0,1,1,1.8,0.0,1.8,2.4,0.0,1.4,2.0,0,0,2
1961.0,1719.0,242.0,8.0,43.0,35.0,0,0,2.4,0.0,2.4,3.0,1.5,1.4,3.5,0,0,2
1867.0,1719.0,148.0,19.0,43.0,24.0,0,0,1.2,0.0,1.2,2.0,1.3333333333333333,2.0,3.0,0,0,2
1867.0,1961.0,-94.0,19.0,8.0,-11.0,0,0,0.6,2.4,-1.7999999999999998,1.2,3.0,2.8,1.8,0,0,0
2020.0,1767.0,253.0,4.0,29.0,25.0,0,1,2.2,0.8,1.4000000000000001,2.0,1.6,0.4,1.4,0,0,2
1923.0,1889.0,34.0,11.0,16.0,5.0,0,0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,0,0,2
1961.0,1867.0,94.0,8.0,19.0,11.0,0,0,3.0,1.8,1.2,3.6,1.8,1.2,2.2,0,0,2
1867.0,2081.0,-214.0,19.0,3.0,-16.0,0,0,1.2,1.2,0.0,2.0,1.4,2.6,3.6,0,0,2
1827.0,2020.0,-193.0,23.0,4.0,-19.0,0,0,0.6,3.0,-2.4,1.8,6.2,6.2,1.0,0,0,0
2113.0,1892.0,221.0,2.0,15.0,13.0,0,1,1.8,0.8,1.0,1.2,0.8,1.0,1.2,0,0,2
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,1,0.5,2.0,-1.5,1.0,3.0,3.0,1.0,0,0,1
2113.0,1892.0,221.0,2.0,15.0,13.0,0,1,2.4,0.6,1.7999999999999998,1.8,1.0,1.0,1.8,0,0,2
1867.0,1961.0,-94.0,19.0,8.0,-11.0,0,0,1.8,1.8,0.0,2.4,2.6,2.6,2.2,0,0,2
1767.0,2020.0,-253.0,29.0,4.0,-25.0,0,1,2.6,2.0,0.6000000000000001,2.2,3.6,0.4,1.2,0,0,2
2081.0,1867.0,214.0,3.0,19.0,16.0,0,0,0.6,1.8,-1.2000000000000002,0.6,2.0,5.6,1.8,0,0,0
1889.0,1923.0,-34.0,16.0,11.0,-5.0,0,0,1.0,1.0,0.0,2.6666666666666665,2.75,2.6666666666666665,3.25,0,0,0
1961.0,1867.0,94.0,8.0,19.0,11.0,0,0,3.0,1.2,1.8,4.4,1.6,1.0,3.0,0,0,2
1961.0,1923.0,38.0,8.0,11.0,3.0,0,0,3.0,0.8,2.2,4.4,2.6,1.2,3.4,0,0,2
1923.0,1867.0,56.0,11.0,19.0,8.0,0,0,1.5,1.2,0.30000000000000004,0.5,1.8,1.5,2.8,0,0,0
2113.0,1892.0,221.0,2.0,15.0,13.0,0,0,3.0,1.2,1.8,3.4,1.4,1.0,1.8,0,0,2
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,1,1.0,1.6,-0.6000000000000001,1.4,2.6,2.6,1.4,0,0,2
1912.0,1719.0,193.0,12.0,43.0,31.0,0,0,0.0,0.75,-0.75,0.0,2.0,4.0,2.25,0,0,0
1923.0,1961.0,-38.0,11.0,8.0,-3.0,0,0,1.0,2.4,-1.4,0.6666666666666666,3.0,1.6666666666666667,1.4,0,0,0
2113.0,1892.0,221.0,2.0,15.0,13.0,0,1,2.6,0.8,1.8,3.2,1.4,1.0,2.0,0,0,1
2113.0,1892.0,221.0,2.0,15.0,13.0,0,1,2.0,1.4,0.6000000000000001,3.0,2.4,2.0,2.0,0,0,0
1867.0,1961.0,-94.0,19.0,8.0,-11.0,0,0,1.8,2.4,-0.5999999999999999,2.4,3.4,2.8,1.4,0,0,0
1923.0,1889.0,34.0,11.0,16.0,5.0,0,0,1.5,0.0,1.5,2.0,0.6666666666666666,1.75,2.6666666666666665,0,0,2
2020.0,1767.0,253.0,4.0,29.0,25.0,0,1,2.6,0.4,2.2,2.0,1.0,0.4,1.8,0,0,1
1961.0,1867.0,94.0,8.0,19.0,11.0,0,0,3.0,1.2,1.8,4.6,1.8,1.4,2.8,0,0,2
1867.0,1923.0,-56.0,19.0,11.0,-8.0,0,0,1.8,0.8,1.0,2.4,2.2,2.8,2.8,0,0,2
1889.0,2081.0,-192.0,16.0,3.0,-13.0,0,0,1.8,0.6,1.2000000000000002,3.0,1.8,2.0,4.2,0,0,2
1867.0,2081.0,-214.0,19.0,3.0,-16.0,0,0,2.4,0.0,2.4,3.6,1.6,2.2,5.4,0,0,2
1719.0,1923.0,-204.0,43.0,11.0,-32.0,0,0,1.5,1.4,0.10000000000000009,6.5,2.6,3.5,2.6,0,0,0
2113.0,1892.0,221.0,2.0,15.0,13.0,0,1,1.4,2.0,-0.6000000000000001,2.4,2.6,2.2,1.4,0,0,0
1719.0,1912.0,-193.0,43.0,12.0,-31.0,0,0,2.0,0.0,2.0,5.666666666666667,2.0,2.6666666666666665,7.5,0,0,2
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,1,1.0,1.6,-0.6000000000000001,1.8,2.2,2.0,1.8,0,0,0
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,1,1.2,1.6,-0.40000000000000013,2.0,2.0,1.8,1.6,0,0,1
1923.0,1827.0,96.0,11.0,23.0,12.0,0,0,1.2,1.0,0.19999999999999996,1.8,1.6,1.8,2.4,0,0,0
2113.0,1892.0,221.0,2.0,15.0,13.0,0,1,1.4,1.4,0.0,1.8,2.0,2.0,1.8,0,0,2
1923.0,1719.0,204.0,11.0,43.0,32.0,0,0,0.6,1.8,-1.2000000000000002,1.8,3.2,2.4,2.0,0,0,0
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,1,1.6,1.4,0.20000000000000018,2.2,1.6,1.4,1.8,0,0,2
2081.0,1867.0,214.0,3.0,19.0,16.0,0,0,0.4,1.4,-0.9999999999999999,0.8,1.8,5.4,2.2,0,0,1
2081.0,1889.0,192.0,3.0,16.0,13.0,0,0,1.6,0.2,1.4000000000000001,2.8,1.0,1.4,4.4,0,0,2
1867.0,1889.0,-22.0,19.0,16.0,-3.0,0,0,2.4,0.2,2.1999999999999997,4.4,1.4,2.2,6.0,0,0,2
1867.0,1961.0,-94.0,19.0,8.0,-11.0,0,0,1.8,2.4,-0.5999999999999999,4.0,3.0,2.2,1.4,0,0,0
1767.0,2020.0,-253.0,29.0,4.0,-25.0,0,1,2.6,2.0,0.6000000000000001,1.4,2.0,0.2,0.8,0,0,1
1961.0,1923.0,38.0,8.0,11.0,3.0,0,0,2.6,1.4,1.2000000000000002,4.6,3.0,1.8,3.0,0,0,1
1961.0,1867.0,94.0,8.0,19.0,11.0,0,0,2.6,0.8,1.8,4.6,1.6,2.2,3.0,0,0,2
1889.0,1923.0,-34.0,16.0,11.0,-5.0,0,0,1.8,1.6,0.19999999999999996,2.6,3.2,1.4,2.8,0,0,0
1912.0,1719.0,193.0,12.0,43.0,31.0,0,0,0.0,2.4,-2.4,0.5,3.0,3.0,1.2,0,0,0
1827.0,1923.0,-96.0,23.0,11.0,-12.0,1,1,2.0,1.6,0.3999999999999999,2.4,3.2,2.4,3.4,0,0,2
1719.0,1961.0,-242.0,43.0,8.0,-35.0,0,1,1.4,2.4,-1.0,3.6,3.0,2.4,1.8,0,0,0
1961.0,1827.0,134.0,8.0,23.0,15.0,1,1,2.6,0.8,1.8,3.8,1.0,2.4,2.2,0,0,2
1827.0,1912.0,-85.0,23.0,12.0,-11.0,1,1,2.6,0.0,2.6,2.4,1.0,0.8,5.75,0,0,2
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,1,2.0,1.4,0.6000000000000001,2.2,1.4,1.0,1.6,0,0,2
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,1,2.0,0.8,1.2,2.2,0.8,0.8,2.2,0,0,2
2113.0,1892.0,221.0,2.0,15.0,13.0,0,1,0.8,2.0,-1.2,1.0,2.0,2.0,1.0,0,0,0
2113.0,1892.0,221.0,2.0,15.0,13.0,0,1,0.8,2.0,-1.2,1.4,2.4,2.4,1.4,0,0,1
1719.0,1912.0,-193.0,43.0,12.0,-31.0,0,0,1.4,0.0,1.4,3.2,1.2,2.0,5.4,0,0,2
1923.0,1961.0,-38.0,11.0,8.0,-3.0,0,0,0.6,2.4,-1.7999999999999998,4.2,3.0,2.4,2.2,0,0,0
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,0,2.0,0.8,1.2,2.0,0.8,0.8,2.0,0,0,0
1867.0,2081.0,-214.0,19.0,3.0,-16.0,0,0,2.4,1.2,1.2,4.4,1.8,1.2,3.0,0,0,2
1867.0,1961.0,-94.0,19.0,8.0,-11.0,0,0,2.0,2.0,0.0,4.6,2.6,1.6,2.6,0,0,1
1889.0,2081.0,-192.0,16.0,3.0,-13.0,0,0,1.8,1.8,0.0,2.4,2.4,1.6,1.8,0,0,0
2020.0,1767.0,253.0,4.0,29.0,25.0,0,1,2.6,1.6,1.0,2.2,1.4,1.0,0.8,0,0,2
1961.0,1867.0,94.0,8.0,19.0,11.0,0,0,2.0,1.4,0.6000000000000001,4.6,2.4,2.6,2.0,0,0,0
1889.0,1867.0,22.0,16.0,19.0,3.0,0,0,1.2,1.4,-0.19999999999999996,2.2,2.0,2.0,1.8,0,0,0
1923.0,1889.0,34.0,11.0,16.0,5.0,0,0,0.6,0.8,-0.20000000000000007,4.2,1.4,2.4,5.0,0,0,0
1719.0,1912.0,-193.0,43.0,12.0,-31.0,0,0,1.8,0.0,1.8,4.6,0.6,1.6,5.0,0,0,2
2113.0,1892.0,221.0,2.0,15.0,13.0,0,0,1.0,1.6,-0.6000000000000001,1.2,1.4,1.4,1.2,0,0,1
2113.0,1892.0,221.0,2.0,15.0,13.0,0,0,1.6,1.0,0.6000000000000001,1.6,1.2,1.2,1.6,0,0,2
2113.0,1892.0,221.0,2.0,15.0,13.0,0,1,1.6,1.0,0.6000000000000001,2.0,1.2,1.2,2.0,0,0,2
2113.0,1892.0,221.0,2.0,15.0,13.0,0,1,2.2,0.4,1.8000000000000003,2.4,1.0,1.0,2.4,0,0,2
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,1,2.4,1.2,1.2,2.0,1.0,0.6,1.4,0,0,2
1912.0,1719.0,193.0,12.0,43.0,31.0,0,0,0.8,1.4,-0.5999999999999999,0.8,1.4,2.8,2.6,0,0,1
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,1,2.4,1.2,1.2,1.6,1.0,0.6,1.2,0,0,2
1867.0,1889.0,-22.0,19.0,16.0,-3.0,0,0,2.0,0.6,1.4,3.6,1.0,1.4,5.0,0,0,2
1867.0,1923.0,-56.0,19.0,11.0,-8.0,0,0,2.0,0.6,1.4,3.0,1.4,1.4,3.6,0,0,2
2081.0,1867.0,214.0,3.0,19.0,16.0,0,0,3.0,1.2,1.8,4.8,2.4,0.8,2.4,0,0,2
2081.0,1889.0,192.0,3.0,16.0,13.0,0,0,2.6,0.8,1.8,3.8,1.4,1.2,3.6,0,0,1
1867.0,1961.0,-94.0,19.0,8.0,-11.0,0,0,2.0,2.0,0.0,3.2,3.0,1.8,2.8,0,0,0
1767.0,2020.0,-253.0,29.0,4.0,-25.0,0,1,2.2,1.4,0.8000000000000003,1.4,1.4,0.4,1.2,0,0,2
1961.0,1923.0,38.0,8.0,11.0,3.0,0,0,2.0,0.2,1.8,4.4,1.8,2.4,4.2,0,0,1
1961.0,1867.0,94.0,8.0,19.0,11.0,0,0,2.0,1.2,0.8,4.4,2.2,2.2,2.4,0,0,2
1912.0,1719.0,193.0,12.0,43.0,31.0,0,0,0.8,1.4,-0.5999999999999999,0.8,1.2,2.2,2.4,0,0,0
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,1,2.4,1.2,1.2,1.8,1.4,1.0,1.2,0,0,2
2113.0,1892.0,221.0,2.0,15.0,13.0,0,1,2.6,0.2,2.4,2.2,0.6,0.6,2.2,0,0,2
2113.0,1984.0,129.0,2.0,5.0,3.0,0,0,3.0,0.0,3.0,2.6,0.0,0.4,3.0,0,0,2
2113.0,1984.0,129.0,2.0,5.0,3.0,0,1,2.4,1.5,0.8999999999999999,2.2,0.5,0.4,1.5,0,0,0
1719.0,1912.0,-193.0,43.0,12.0,-31.0,0,0,1.6,0.2,1.4000000000000001,2.8,0.6,3.2,4.4,0,0,2
1912.0,1719.0,193.0,12.0,43.0,31.0,0,0,1.2,1.0,0.19999999999999996,1.0,0.6,1.0,2.4,0,0,1
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,1,1.8,1.2,0.6000000000000001,1.6,1.4,1.6,1.4,0,0,0
2113.0,1892.0,221.0,2.0,15.0,13.0,0,1,2.4,0.0,2.4,1.8,0.6,0.6,2.4,0,0,2
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,1,2.4,0.6,1.7999999999999998,1.8,1.0,1.0,1.8,0,0,2
1719.0,1912.0,-193.0,43.0,12.0,-31.0,0,0,2.2,0.2,2.0,3.8,0.8,1.6,6.0,0,0,2
1719.0,1912.0,-193.0,43.0,12.0,-31.0,0,0,2.0,0.2,1.8,4.0,0.8,1.2,5.4,0,0,2
2113.0,1984.0,129.0,2.0,5.0,3.0,0,1,2.0,1.3333333333333333,0.6666666666666667,2.4,0.6666666666666666,0.8,1.3333333333333333,0,0,1
1984.0,1892.0,92.0,5.0,15.0,10.0,1,1,0.5,1.2,-0.7,1.0,1.6,1.5,1.4,0,0,0
2113.0,1892.0,221.0,2.0,15.0,13.0,0,1,2.2,1.4,0.8000000000000003,2.0,1.6,0.6,1.0,0,0,1
1892.0,1984.0,-92.0,15.0,5.0,-10.0,0,0,1.8,1.75,0.050000000000000044,2.2,0.75,1.4,1.0,0,0,0
2113.0,1892.0,221.0,2.0,15.0,13.0,0,1,2.2,1.4,0.8000000000000003,2.2,1.6,0.6,1.2,0,0,2
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,1,1.2,1.2,0.0,1.8,1.4,1.4,1.8,0,0,0
1719.0,1721.0,-2.0,43.0,41.0,-2.0,0,0,1.8,3.0,-1.2,4.0,3.0,1.4,2.0,0,0,0
1912.0,1721.0,191.0,12.0,41.0,29.0,0,0,0.6,2.0,-1.4,0.6,2.0,1.2,1.5,0,0,1
2113.0,1892.0,221.0,2.0,15.0,13.0,0,0,2.2,1.4,0.8000000000000003,2.4,1.8,0.8,2.2,0,0,2
1912.0,1719.0,193.0,12.0,43.0,31.0,0,0,0.8,1.0,-0.19999999999999996,0.6,0.4,1.0,1.0,0,0,1
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,1,1.2,1.8,-0.6000000000000001,1.4,1.6,1.0,1.6,0,0,0
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,0,1.2,1.8,-0.6000000000000001,1.6,1.4,1.2,1.6,0,0,2
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,1,0.6,1.8,-1.2000000000000002,0.8,1.2,1.4,1.2,0,0,0
2113.0,1892.0,221.0,2.0,15.0,13.0,0,1,2.6,0.8,1.8,2.4,1.0,0.6,2.4,0,0,2
1719.0,1912.0,-193.0,43.0,12.0,-31.0,0,0,1.4,0.2,1.2,3.0,1.2,1.6,6.0,0,0,1
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,1,1.2,1.8,-0.6000000000000001,1.0,1.2,1.2,1.0,0,0,2
1912.0,1719.0,193.0,12.0,43.0,31.0,0,0,0.4,1.2,-0.7999999999999999,0.4,0.8,1.4,0.8,0,0,0
2113.0,1984.0,129.0,2.0,5.0,3.0,1,1,2.6,1.4,1.2000000000000002,3.0,1.0,1.0,1.6,0,0,2
1892.0,1984.0,-92.0,15.0,5.0,-10.0,0,1,2.4,1.4,1.0,2.4,1.0,0.6,1.8,0,0,2
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,1,2.4,1.2,1.2,2.0,0.8,0.4,1.0,0,0,2
1892.0,1984.0,-92.0,15.0,5.0,-10.0,0,0,3.0,0.8,2.2,2.6,1.0,0.2,2.4,0,0,2
1889.0,1827.0,62.0,16.0,23.0,7.0,0,0,0.0,1.2,-1.2,0.6,1.6,2.0,2.4,0,0,0
1889.0,1827.0,62.0,16.0,23.0,7.0,0,0,0.6,1.2,-0.6,1.0,1.8,2.0,2.6,0,0,2
1827.0,1889.0,-62.0,23.0,16.0,-7.0,0,0,1.0,0.4,0.6,2.2,1.0,2.2,2.6,0,0,2
1719.0,1912.0,-193.0,43.0,12.0,-31.0,0,0,1.4,0.2,1.2,2.4,0.6,1.6,6.2,0,0,2
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,1,2.6,0.8,1.8,2.6,0.8,0.4,1.2,0,0,1
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,1,2.6,0.8,1.8,2.4,0.8,0.6,1.2,0,0,2
2113.0,1892.0,221.0,2.0,15.0,13.0,0,1,2.6,0.4,2.2,2.6,0.6,0.8,2.2,0,0,1
2113.0,1892.0,221.0,2.0,15.0,13.0,0,1,2.6,0.2,2.4,1.6,0.8,0.6,2.6,0,0,2
1912.0,1719.0,193.0,12.0,43.0,31.0,0,0,1.4,1.0,0.3999999999999999,1.2,0.8,1.2,1.2,0,0,2
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,1,2.2,0.4,1.8000000000000003,1.8,0.6,0.8,1.4,0,0,1
2113.0,1892.0,221.0,2.0,15.0,13.0,0,1,2.6,0.2,2.4,1.8,0.6,0.6,2.4,0,0,2
1867.0,2081.0,-214.0,19.0,3.0,-16.0,0,0,1.6,0.8,0.8,3.0,2.2,2.2,3.0,0,0,1
1833.0,2113.0,-280.0,22.0,2.0,-20.0,0,0,0.0,1.0,-1.0,1.0,1.6,5.0,1.4,0,0,0
